GEOID10,profile,time_limit,average_area
421010170003.0,car,600,212744579.09097725
421010170003.0,car,1800,3198660869.9872456
421010170003.0,car,1200,1121054528.0570557
421010170003.0,foot,600,1070070.4550092616
421010170003.0,foot,1800,15534150.16378802
421010170003.0,foot,1200,6380013.321395079
421010170003.0,pt,600,745506.9197137643
421010170003.0,pt,1800,39087200.11034233
421010170003.0,pt,1200,9955969.32692993
421010383001.0,car,600,227374548.66314697
421010383001.0,car,1800,3382056329.1679287
421010383001.0,car,1200,1189032473.5846577
421010383001.0,foot,600,1198131.9556192295
421010383001.0,foot,1800,18181530.679059893
421010383001.0,foot,1200,6864039.159213588
421010383001.0,pt,600,772997.0236119295
421010383001.0,pt,1800,46149686.20345961
421010383001.0,pt,1200,10581894.633825704
421010383002.0,car,600,259355856.6041623
421010383002.0,car,1800,3514523097.305599
421010383002.0,car,1200,1266050960.840806
421010383002.0,foot,600,1678469.0215729824
421010383002.0,foot,1800,20366052.7418989
421010383002.0,foot,1200,8524146.467934841
421010383002.0,pt,600,1284179.905982366
421010383002.0,pt,1800,43922106.387018606
421010383002.0,pt,1200,10652330.157348901
421010383003.0,car,600,265143070.63440895
421010383003.0,car,1800,3546554780.1554947
421010383003.0,car,1200,1287682282.293195
421010383003.0,foot,600,1864164.9514513575
421010383003.0,foot,1800,20388437.314066947
421010383003.0,foot,1200,8400969.396223899
421010383003.0,pt,600,1688824.989359988
421010383003.0,pt,1800,55488184.09452935
421010383003.0,pt,1200,14395379.622806083
421010211001.0,car,600,179380294.12196413
421010211001.0,car,1800,2977303511.31802
421010211001.0,car,1200,1051570657.7204872
421010211001.0,foot,600,1570215.6296707818
421010211001.0,foot,1800,14938354.094038516
421010211001.0,foot,1200,5998552.66020717
421010211001.0,pt,600,1341926.0017235165
421010211001.0,pt,1800,25097352.06847993
421010211001.0,pt,1200,6305930.645467903
421010211002.0,car,600,195373218.23205358
421010211002.0,car,1800,3052187872.245021
421010211002.0,car,1200,1099849495.1419923
421010211002.0,foot,600,2042927.4502585747
421010211002.0,foot,1800,17316816.36626902
421010211002.0,foot,1200,7634628.103917283
421010211002.0,pt,600,1551154.1032781203
421010211002.0,pt,1800,30818179.492610537
421010211002.0,pt,1200,9380205.437940337
421010252001.0,car,600,188606798.8634617
421010252001.0,car,1800,2863172589.250918
421010252001.0,car,1200,1007364300.3466387
421010252001.0,foot,600,2177404.2369978474
421010252001.0,foot,1800,20918869.193725392
421010252001.0,foot,1200,8767027.82745556
421010252001.0,pt,600,2480461.766833325
421010252001.0,pt,1800,56364660.3604033
421010252001.0,pt,1200,19103999.32422755
421010252002.0,car,600,191198663.26613015
421010252002.0,car,1800,2895644429.386603
421010252002.0,car,1200,1034243435.472111
421010252002.0,foot,600,2112806.557273105
421010252002.0,foot,1800,20845897.1322468
421010252002.0,foot,1200,8843903.038125683
421010252002.0,pt,600,2203461.1548179835
421010252002.0,pt,1800,47826429.217415236
421010252002.0,pt,1200,15153680.146384463
421010039011.0,car,600,199051753.88747594
421010039011.0,car,1800,3732888586.3383865
421010039011.0,car,1200,1302693098.4483857
421010039011.0,foot,600,2366613.0347878924
421010039011.0,foot,1800,22316490.1591971
421010039011.0,foot,1200,9747989.989363028
421010039011.0,pt,600,3095733.1978930393
421010039011.0,pt,1800,52339505.37639578
421010039011.0,pt,1200,20947566.253263086
421010039012.0,car,600,211364431.22962102
421010039012.0,car,1800,3778612786.524942
421010039012.0,car,1200,1339408238.7676325
421010039012.0,foot,600,2358191.9499563603
421010039012.0,foot,1800,21839400.721185863
421010039012.0,foot,1200,9676230.537939342
421010039012.0,pt,600,2356417.920030484
421010039012.0,pt,1800,44807648.396908544
421010039012.0,pt,1200,16488131.719789049
421010039013.0,car,600,203889078.37027884
421010039013.0,car,1800,3705965145.160308
421010039013.0,car,1200,1296102579.6831858
421010039013.0,foot,600,2285910.7007187204
421010039013.0,foot,1800,21260568.954705574
421010039013.0,foot,1200,9410223.822475156
421010039013.0,pt,600,2152038.7435093834
421010039013.0,pt,1800,33890424.43430826
421010039013.0,pt,1200,12578425.355589915
421010252006.0,car,600,193729968.6941653
421010252006.0,car,1800,2838654636.528589
421010252006.0,car,1200,1013450556.3261206
421010252006.0,foot,600,2121827.3979699844
421010252006.0,foot,1800,21123459.89314478
421010252006.0,foot,1200,8921328.975187184
421010252006.0,pt,600,1767336.2841504023
421010252006.0,pt,1800,43825434.15597699
421010252006.0,pt,1200,13885676.798922956
421010039014.0,car,600,202781792.83105975
421010039014.0,car,1800,3711906129.5323954
421010039014.0,car,1200,1294457511.6973279
421010039014.0,foot,600,2325968.1630967744
421010039014.0,foot,1800,21916071.9705167
421010039014.0,foot,1200,9670436.341894662
421010039014.0,pt,600,2743385.4542380115
421010039014.0,pt,1800,41661544.75484905
421010039014.0,pt,1200,16756024.519112444
421010252003.0,car,600,202311735.02829057
421010252003.0,car,1800,2920431642.8005724
421010252003.0,car,1200,1051698427.755743
421010252003.0,foot,600,2059724.2556676615
421010252003.0,foot,1800,20505543.373617996
421010252003.0,foot,1200,8605427.91039366
421010252003.0,pt,600,2043368.3351961426
421010252003.0,pt,1800,57994450.23786084
421010252003.0,pt,1200,19488424.609049562
421010252004.0,car,600,207424381.29988384
421010252004.0,car,1800,2932097817.822939
421010252004.0,car,1200,1057921572.8362373
421010252004.0,foot,600,2094288.5078919854
421010252004.0,foot,1800,20762682.07139507
421010252004.0,foot,1200,8706798.646967536
421010252004.0,pt,600,1686066.2522318945
421010252004.0,pt,1800,51117202.227864794
421010252004.0,pt,1200,16616931.030859092
421010252007.0,car,600,205961174.93598938
421010252007.0,car,1800,2904721218.668069
421010252007.0,car,1200,1043782957.857797
421010252007.0,foot,600,1974494.22267253
421010252007.0,foot,1800,21051272.536173925
421010252007.0,foot,1200,8933442.88556481
421010252007.0,pt,600,1514148.6315962754
421010252007.0,pt,1800,47486379.26257129
421010252007.0,pt,1200,15457353.122139443
421010252005.0,car,600,209748071.64160752
421010252005.0,car,1800,2943473786.841171
421010252005.0,car,1200,1057527707.7124552
421010252005.0,foot,600,1970841.7650399797
421010252005.0,foot,1800,20907019.845634144
421010252005.0,foot,1200,9003909.836676536
421010252005.0,pt,600,1513765.762604619
421010252005.0,pt,1800,46626384.95425842
421010252005.0,pt,1200,15317456.03145231
421010039021.0,car,600,231107645.79876098
421010039021.0,car,1800,3888084960.4820037
421010039021.0,car,1200,1399440839.6507456
421010039021.0,foot,600,2368886.9905707864
421010039021.0,foot,1800,21703078.6246301
421010039021.0,foot,1200,9725048.847789234
421010039021.0,pt,600,2459428.9819650976
421010039021.0,pt,1800,35983286.403052986
421010039021.0,pt,1200,14111699.543731889
421010039022.0,car,600,241102999.7050972
421010039022.0,car,1800,3952258485.8461175
421010039022.0,car,1200,1438623204.7499928
421010039022.0,foot,600,2307130.006216937
421010039022.0,foot,1800,21482853.869042467
421010039022.0,foot,1200,9188594.226522397
421010039022.0,pt,600,4344839.1009912575
421010039022.0,pt,1800,54612454.68749871
421010039022.0,pt,1200,22298481.046100695
421010039023.0,car,600,235234786.9835488
421010039023.0,car,1800,3926185353.1354423
421010039023.0,car,1200,1426149014.4108286
421010039023.0,foot,600,2124742.2176405187
421010039023.0,foot,1800,20003695.53479537
421010039023.0,foot,1200,8533108.063990165
421010039023.0,pt,600,2034129.3694905178
421010039023.0,pt,1800,32418425.84867071
421010039023.0,pt,1200,12334107.871715494
421010039024.0,car,600,235111379.03544712
421010039024.0,car,1800,3898046011.9143424
421010039024.0,car,1200,1400643722.7517846
421010039024.0,foot,600,2214233.0592509126
421010039024.0,foot,1800,20837790.133585654
421010039024.0,foot,1200,8999123.230723964
421010039024.0,pt,600,3708699.6660702764
421010039024.0,pt,1800,53168187.08854793
421010039024.0,pt,1200,21061789.006594963
421010080001.0,car,600,202938113.55062675
421010080001.0,car,1800,3256264492.309652
421010080001.0,car,1200,1076065075.1376572
421010080001.0,foot,600,2365916.6149878236
421010080001.0,foot,1800,21594979.47584417
421010080001.0,foot,1200,9721474.499959042
421010080001.0,pt,600,2158340.8471341976
421010080001.0,pt,1800,44321659.4570011
421010080001.0,pt,1200,16057148.842850337
421010080002.0,car,600,203884603.43094164
421010080002.0,car,1800,3252232298.358461
421010080002.0,car,1200,1068757451.3972733
421010080002.0,foot,600,2397291.307717257
421010080002.0,foot,1800,21283534.77406419
421010080002.0,foot,1200,9908247.050834099
421010080002.0,pt,600,2032835.1384370376
421010080002.0,pt,1800,45246908.3830262
421010080002.0,pt,1200,14165719.866095189
421010080003.0,car,600,193904194.10136494
421010080003.0,car,1800,3139360551.041968
421010080003.0,car,1200,1028714516.4596684
421010080003.0,foot,600,2406294.332920375
421010080003.0,foot,1800,20979517.29642979
421010080003.0,foot,1200,9808697.094380537
421010080003.0,pt,600,2075600.498048985
421010080003.0,pt,1800,38870902.72726332
421010080003.0,pt,1200,13896331.523987595
421010080004.0,car,600,195590364.3857295
421010080004.0,car,1800,3159569961.7947907
421010080004.0,car,1200,1037836122.974892
421010080004.0,foot,600,2300823.171305664
421010080004.0,foot,1800,21360215.101403188
421010080004.0,foot,1200,9720362.146184528
421010080004.0,pt,600,2147270.621055414
421010080004.0,pt,1800,39496838.4120073
421010080004.0,pt,1200,14205826.66836701
421010293001.0,car,600,224758885.2756764
421010293001.0,car,1800,3514396197.07908
421010293001.0,car,1200,1272635855.3964877
421010293001.0,foot,600,1872448.6320804048
421010293001.0,foot,1800,20290938.425702114
421010293001.0,foot,1200,8548120.311812446
421010293001.0,pt,600,1475962.719709966
421010293001.0,pt,1800,45753313.128373116
421010293001.0,pt,1200,10355621.523583217
421010293002.0,car,600,223355001.68389687
421010293002.0,car,1800,3581523564.496943
421010293002.0,car,1200,1299278885.8734403
421010293002.0,foot,600,1797776.168900398
421010293002.0,foot,1800,20965309.413687926
421010293002.0,foot,1200,8575495.291943202
421010293002.0,pt,600,1961137.8696484882
421010293002.0,pt,1800,71312361.98386315
421010293002.0,pt,1200,17923834.836271994
421010121001.0,car,600,231610051.95121592
421010121001.0,car,1800,3347594827.3706064
421010121001.0,car,1200,1219647504.9387228
421010121001.0,foot,600,1507716.9608016924
421010121001.0,foot,1800,18983037.42544309
421010121001.0,foot,1200,8009181.85313267
421010121001.0,pt,600,1456456.4686035751
421010121001.0,pt,1800,44396440.00248704
421010121001.0,pt,1200,13765839.986994794
421010121002.0,car,600,189329575.12979144
421010121002.0,car,1800,3099108962.390976
421010121002.0,car,1200,1078510901.7166672
421010121002.0,foot,600,688877.1251487538
421010121002.0,foot,1800,12336350.08589153
421010121002.0,foot,1200,4054942.4852033863
421010121002.0,pt,600,700428.9096684649
421010121002.0,pt,1800,17466761.751933657
421010121002.0,pt,1200,5239261.412955971
421010334001.0,car,600,255061170.58838695
421010334001.0,car,1800,3482425789.596373
421010334001.0,car,1200,1275686866.5613658
421010334001.0,foot,600,2206129.0813218686
421010334001.0,foot,1800,21514019.29644413
421010334001.0,foot,1200,9020409.00795314
421010334001.0,pt,600,2557702.0195789505
421010334001.0,pt,1800,79095332.59759624
421010334001.0,pt,1200,26809235.156485274
421010334002.0,car,600,248983647.86559367
421010334002.0,car,1800,3444618716.4930105
421010334002.0,car,1200,1280570297.7105699
421010334002.0,foot,600,2055468.2959516924
421010334002.0,foot,1800,20798235.974358745
421010334002.0,foot,1200,9163990.883746933
421010334002.0,pt,600,2564973.702397096
421010334002.0,pt,1800,74772476.61520216
421010334002.0,pt,1200,25271418.49420932
421010334003.0,car,600,271226103.630471
421010334003.0,car,1800,3525571804.495977
421010334003.0,car,1200,1320440968.7799098
421010334003.0,foot,600,2337509.807905549
421010334003.0,foot,1800,21086137.936411478
421010334003.0,foot,1200,9920980.669431344
421010334003.0,pt,600,2004605.2692336657
421010334003.0,pt,1800,59824081.21895693
421010334003.0,pt,1200,16057566.561655248
421010334004.0,car,600,242759913.78433102
421010334004.0,car,1800,3447506111.7058945
421010334004.0,car,1200,1291121746.8489392
421010334004.0,foot,600,2001788.248004979
421010334004.0,foot,1800,20792141.971753746
421010334004.0,foot,1200,9111763.867684875
421010334004.0,pt,600,2416639.3084950885
421010334004.0,pt,1800,65071963.94258096
421010334004.0,pt,1200,21711918.583585855
421010162001.0,car,600,203783942.03525487
421010162001.0,car,1800,3495035052.7460876
421010162001.0,car,1200,1176687249.773766
421010162001.0,foot,600,2419515.797508697
421010162001.0,foot,1800,22874169.248346195
421010162001.0,foot,1200,10251778.759799799
421010162001.0,pt,600,2004450.801371711
421010162001.0,pt,1800,66091017.479507186
421010162001.0,pt,1200,18614657.769291442
421010162002.0,car,600,212950202.40770987
421010162002.0,car,1800,3574249238.686137
421010162002.0,car,1200,1206891690.2557766
421010162002.0,foot,600,2338567.746430446
421010162002.0,foot,1800,22441933.04333059
421010162002.0,foot,1200,9848415.838891357
421010162002.0,pt,600,2114315.3660460897
421010162002.0,pt,1800,59980744.550988674
421010162002.0,pt,1200,16956717.459678095
421010162003.0,car,600,207432800.9242119
421010162003.0,car,1800,3540311464.0725327
421010162003.0,car,1200,1196330465.555777
421010162003.0,foot,600,2362355.700731743
421010162003.0,foot,1800,22858719.210254878
421010162003.0,foot,1200,10038057.150898857
421010162003.0,pt,600,1932853.6977091595
421010162003.0,pt,1800,63176580.93847678
421010162003.0,pt,1200,17997575.124284025
421010375001.0,car,600,197559707.6031748
421010375001.0,car,1800,2880129327.5208616
421010375001.0,car,1200,1049921234.579456
421010375001.0,foot,600,1562655.502054594
421010375001.0,foot,1800,18998043.396973487
421010375001.0,foot,1200,7829652.247427751
421010375001.0,pt,600,1416033.4593833776
421010375001.0,pt,1800,50304205.15989147
421010375001.0,pt,1200,14113118.849169523
421010375002.0,car,600,181223733.21883434
421010375002.0,car,1800,2793222806.4033074
421010375002.0,car,1200,1014403850.8038464
421010375002.0,foot,600,1572040.7353652876
421010375002.0,foot,1800,17391763.612723567
421010375002.0,foot,1200,7022957.595807818
421010375002.0,pt,600,1055800.6219281224
421010375002.0,pt,1800,25045480.310950097
421010375002.0,pt,1200,7074342.278192622
421019804001.0,car,600,154865556.87804908
421019804001.0,car,1800,3207157659.5436773
421019804001.0,car,1200,941960260.596966
421019804001.0,foot,600,670517.3135635231
421019804001.0,foot,1800,5942175.664107065
421019804001.0,foot,1200,2600869.338797717
421019804001.0,pt,600,165742.28106683906
421019804001.0,pt,1800,2695693.6941212453
421019804001.0,pt,1200,689003.9416579909
421010203001.0,car,600,273531424.900669
421010203001.0,car,1800,3665575084.1492333
421010203001.0,car,1200,1335531119.8495018
421010203001.0,foot,600,2249547.732071906
421010203001.0,foot,1800,21522633.47056008
421010203001.0,foot,1200,9573097.012808826
421010203001.0,pt,600,3058065.306281403
421010203001.0,pt,1800,97679368.24267419
421010203001.0,pt,1200,29717304.528457947
421010203002.0,car,600,275175127.51461446
421010203002.0,car,1800,3573935877.5611205
421010203002.0,car,1200,1306752986.064402
421010203002.0,foot,600,2230664.9306197856
421010203002.0,foot,1800,21447808.351229303
421010203002.0,foot,1200,9409193.787574653
421010203002.0,pt,600,2952357.801593885
421010203002.0,pt,1800,87377841.4562386
421010203002.0,pt,1200,25035971.02286733
421010031001.0,car,600,162498434.79921088
421010031001.0,car,1800,3430894777.5115066
421010031001.0,car,1200,1134645601.3653133
421010031001.0,foot,600,2368887.93935173
421010031001.0,foot,1800,21641302.05117742
421010031001.0,foot,1200,9893417.539401012
421010031001.0,pt,600,2094989.2959173173
421010031001.0,pt,1800,38565137.77300157
421010031001.0,pt,1200,13643438.239010265
421010031002.0,car,600,160643022.71290964
421010031002.0,car,1800,3480257681.366075
421010031002.0,car,1200,1164226459.0409417
421010031002.0,foot,600,2197356.1941476194
421010031002.0,foot,1800,21619492.531019997
421010031002.0,foot,1200,9558345.34070168
421010031002.0,pt,600,2029019.9813528135
421010031002.0,pt,1800,36894572.641291305
421010031002.0,pt,1200,14029692.250980485
421010031003.0,car,600,155010194.88089415
421010031003.0,car,1800,3466592514.9938674
421010031003.0,car,1200,1148271166.130175
421010031003.0,foot,600,2272915.232563478
421010031003.0,foot,1800,21656507.59040498
421010031003.0,foot,1200,9645427.803689979
421010031003.0,pt,600,2204472.3235744205
421010031003.0,pt,1800,35968163.0134831
421010031003.0,pt,1200,13885950.980508283
421010031004.0,car,600,151094995.37649006
421010031004.0,car,1800,3405601670.771472
421010031004.0,car,1200,1116304985.4400554
421010031004.0,foot,600,2339581.979593574
421010031004.0,foot,1800,20918809.02022179
421010031004.0,foot,1200,9798196.569379158
421010031004.0,pt,600,2239323.392228164
421010031004.0,pt,1800,35267625.528014064
421010031004.0,pt,1200,13188627.101991614
421010031005.0,car,600,154858042.05754134
421010031005.0,car,1800,3408236709.719521
421010031005.0,car,1200,1120730086.2168815
421010031005.0,foot,600,2376893.226334724
421010031005.0,foot,1800,21489726.76456599
421010031005.0,foot,1200,9897531.899478527
421010031005.0,pt,600,2172092.828574579
421010031005.0,pt,1800,39563187.059952416
421010031005.0,pt,1200,14449850.963997582
421010031006.0,car,600,161959534.12802473
421010031006.0,car,1800,3406634687.651751
