,isochrone,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
97,421010109002-1200-pt,"39.96430097635668,-75.18964523537966",13132385.478557853,3.634069400630915,True,19602.873281507313,0.0,17600.0,58,4.41656240556604e-06
98,421010109002-1800-pt,"39.96430097635668,-75.18964523537966",60572179.85682549,3.679515246286161,True,98554.7423657654,0.0,9232.0,462,7.627263887349436e-06
135,421010110002-600-foot,"39.9753665759928,-75.2113493640991",1674480.314625147,2.8125,False,0.0,0.0,4624.0,10,5.972002126664967e-06
136,421010110002-1200-foot,"39.9753665759928,-75.2113493640991",7943450.664519055,3.3425925925925926,True,6352.361611351273,0.0,4480.0,36,4.532035449128034e-06
137,421010110002-1800-foot,"39.9753665759928,-75.2113493640991",18252559.877298817,3.478125,True,8446.064410389927,0.0,5472.0,105,5.752617753665952e-06
138,421010110002-600-car,"39.9753665759928,-75.2113493640991",232070496.19635838,3.6752425137072966,True,242138.11063370472,0.0,8864.0,1240,5.343203984666871e-06
139,421010110002-1200-car,"39.9753665759928,-75.2113493640991",1207181396.0455468,3.641564720533294,True,846453.6461705298,0.0,11328.0,2723,2.255667631161259e-06
140,421010110002-1800-car,"39.9753665759928,-75.2113493640991",3447590091.972196,3.6228889194013454,True,944060.3934963488,0.0,12224.0,2860,8.295649783480887e-07
141,421010110002-600-pt,"39.9753665759928,-75.2113493640991",1240955.8248997757,2.8333333333333335,False,518.185776727622,1.0208311204653438e-05,4992.0,8,6.4466436592504095e-06
142,421010110002-1200-pt,"39.9753665759928,-75.2113493640991",10602168.122142455,3.6594202898550723,True,13657.69349779344,0.0,5440.0,76,7.168345108702365e-06
143,421010110002-1800-pt,"39.9753665759928,-75.2113493640991",44808120.2886286,3.5186355022109916,True,44693.67283519798,0.0,7248.0,350,7.81108419066673e-06
180,421010110001-600-foot,"39.972428220268384,-75.20517069878659",2111096.1671755337,3.1,True,4245.550548034552,0.0006601740456926279,4608.0,23,1.0894813963293788e-05
181,421010110001-1200-foot,"39.972428220268384,-75.20517069878659",8160045.545962725,3.5615384615384613,True,4752.023511221624,0.0,4992.0,52,6.37251345070342e-06
182,421010110001-1800-foot,"39.972428220268384,-75.20517069878659",20026315.220761444,3.520353982300885,True,10982.092152814366,0.0,5504.0,104,5.193167033153575e-06
183,421010110001-600-car,"39.972428220268384,-75.20517069878659",243991107.48675802,3.6947739974507305,True,290689.2572178605,0.0,8960.0,1346,5.516594493399931e-06
184,421010110001-1200-car,"39.972428220268384,-75.20517069878659",1236308575.0914218,3.6409057706355004,True,855117.7991508547,0.0,11360.0,2731,2.208995436109508e-06
185,421010110001-1800-car,"39.972428220268384,-75.20517069878659",3531133159.7808785,3.6228889194013454,True,944060.3934963488,0.0,12224.0,2860,8.099383032548892e-07
